Chave,Latitude,Longitude
PINHAIS - PR,-25.4443488,-49.1900307
MAGE - RJ,-22.6042779,-43.1081091
ITABAIANA - SE,-10.6856197,-37.4270517
SOLEDADE - PB,-7.058292,-36.366791
ITAPECERICA DA SERRA - SP,-23.7176303,-46.8492435
JUATUBA - MG,-19.954001,-44.3407921
SAO BENTO DO SUL - SC,-26.2483669,-49.3820672
FAZENDA RIO GRANDE - PR,-25.645841,-49.3126653
QUATRO BARRAS - PR,-25.3708987,-49.0745672
LUIS CORREIA - PI,-2.8818164,-41.6658458
ICARA - SC,-28.7116553,-49.2971441
CERQUILHO - SP,-23.1626556,-47.7433878
IPATINGA - MG,-19.4777807,-42.5270802
DIVINOPOLIS - MG,-20.1597921,-44.8739341
GUARUJA - SP,-23.9927768,-46.2558332
BAGE - RS,-31.3314264,-54.1062808
NOVA FRIBURGO - RJ,-22.3061661,-42.4934183
DIONISIO CERQUEIRA - SC,-26.2604681,-53.6346379
CAMPO GRANDE - MS,-20.4494839,-54.6081159
OURICURI - PE,-7.884432,-40.0833221
ARAGUAINA - TO,-7.193241,-48.2018597
NANUQUE - MG,-17.8393915,-40.3494631
BELA VISTA - MS,-22.107327,-56.5317344
OURO PRETO - MG,-20.385527,-43.5035214
PALHOCA - SC,-27.6447774,-48.6646323
INDAIATUBA - SP,-23.0908356,-47.2180677
ERECHIM - RS,-27.6350709,-52.2738654
ARARANGUA - SC,-28.9348832,-49.4858389
CABEDELO - PB,-6.97324,-34.8351609
BRUMADO - BA,-14.2025099,-41.6701307
SAO JOSE DE RIBAMAR - MA,-2.5609115,-44.0559509
ALMEIRIM - PA,-1.5290377,-52.5788111
SANTOS - SP,-23.9335988,-46.3286399
SAPIRANGA - RS,-29.6392382,-51.0068586
CAMPO LARGO - PR,-25.4361954,-49.435565
MOGI DAS CRUZES - SP,-23.5234284,-46.1926671
SOBRAL - CE,-3.6879135,-40.3456372
SINOP - MT,-11.857701,-55.4967824
FLORIANOPOLIS - SC,-27.5973002,-48.5496098
SAO JOSE DO BELMONTE - PE,-7.8641261,-38.7599545
JARINU - SP,-23.0949649,-46.7148565
MONGAGUA - SP,-24.0959454,-46.6234361
CAXIAS DO SUL - RS,-29.1685045,-51.1796385
PRESIDENTE LUCENA - RS,-29.517549,-51.179798
VOTUPORANGA - SP,-20.4252908,-49.972028
OSASCO - SP,-23.5324859,-46.7916801
ITAPERUNA - RJ,-21.215816,-41.879813
BARAO DE COTEGIPE - RS,-27.6214694,-52.3765316
LAVRAS DO SUL - RS,-30.8118057,-53.8982856
PORTO NACIONAL - TO,-10.7019786,-48.4110952
ALVORADA - RS,-29.9981184,-51.0772509
GRAVATAI - RS,-29.9440222,-50.9930938
BARUERI - SP,-23.5112184,-46.8764612
CANELA - RS,-29.3636094,-50.8096844
MARACANA - PA,-0.7666582,-47.4537818
BEBEDOURO - SP,-20.949077,-48.479083
GUARANTA - SP,-21.8950705,-49.590107
FLORESTAL - MG,-19.8878705,-44.4314766
BARBACENA - MG,-21.2254524,-43.7735087
VESPASIANO - MG,-19.6940958,-43.9186521
ALVORADA DO NORTE - GO,-14.483911,-46.4959897
PIRAPETINGA - MG,-21.656903,-42.345955
ALEGRETE - RS,-29.790166,-55.794862
FRANCO DA ROCHA - SP,-23.3328038,-46.724446
MANAUS - AM,-3.1316333,-59.9825041
ARAUCARIA - PR,-25.5861107,-49.4051209
IRATI - PR,-25.469663,-50.649287
NATAL - RN,-5.8193078,-35.2126281
SERRO - MG,-18.604444,-43.379445
SAO JOSE - SC,-27.6157733,-48.6276491
MARICA - RJ,-22.9088759,-42.8171914
PILAR DO SUL - SP,-23.8121684,-47.7201865
PETROPOLIS - RJ,-22.5075743,-43.1785356
BARRINHA - SP,-21.1898849,-48.1550642
TRINDADE - GO,-16.6549924,-49.4876203
CALDAS BRANDAO - PB,-7.1027959,-35.3254676
PORTO VELHO - RO,-8.7494525,-63.8735438
JACINTO - MG,-16.143722,-40.2914847
HORTOLANDIA - SP,-22.8620175,-47.2164219
AREIA BRANCA - RN,-4.9506652,-37.1263312
CUIABA - MT,-15.5986686,-56.0991301
JOAO PESSOA - PB,-7.1215981,-34.882028
SAO LUIS - MA,-2.5295265,-44.2963942
SANTA CRUZ DO SUL - RS,-29.714209,-52.4285807
FRANCISCO MORATO - SP,-23.2817308,-46.7448996
PIUMHI - MG,-20.4675258,-45.9576125
PORTO UNIAO - SC,-26.2336416,-51.082771
IMPERATRIZ - MA,-5.5269279,-47.478115
INDIANOPOLIS - MG,-19.0391972,-47.9178436
CABO DE SANTO AGOSTINHO - PE,-8.2466957,-34.99609
PAROBE - RS,-29.624257,-50.83118
MARILIA - SP,-22.2172002,-49.9500061
RIO BRANCO - AC,-9.9765362,-67.8220778
MORENO - PE,-8.108706,-35.08354
CRICIUMA - SC,-28.6789941,-49.3695627
MACAE - RJ,-22.2828305,-41.9649091
CUSTODIA - PE,-8.0860251,-37.6400307
VALENCA - BA,-13.3723582,-39.0694243
LAGARTO - SE,-10.914501,-37.6711105
JUSSIAPE - BA,-13.5176278,-41.5918835
HELIOPOLIS - BA,-10.6753416,-38.2815308
TRES LAGOAS - MS,-20.7866799,-51.7061247
SAO BERNARDO DO CAMPO - SP,-23.7080345,-46.5506747
SANTA BARBARA - MG,-19.959444,-43.415278
PALOTINA - PR,-24.2839929,-53.8405463
BOCAIUVA - MG,-17.1160208,-43.8122678
ANDRADINA - SP,-20.896505,-51.3742765
ESTEIO - RS,-29.8511627,-51.1778852
CANAA DOS CARAJAS - PA,-6.5296837,-49.8516592
SABARA - MG,-19.8900372,-43.8107916
NOVO HAMBURGO - RS,-29.6905705,-51.1429035
EMBU DAS ARTES - SP,-23.6495294,-46.8528497
RESENDE COSTA - MG,-20.921945,-44.237777
GOIANA - PE,-7.5617238,-34.9952357
JUNDIAI - SP,-23.1887668,-46.884506
TABOAO DA SERRA - SP,-23.6121912,-46.7790539
PORTO DE PEDRAS - AL,-9.1610263,-35.2969865
CHAPECO - SC,-27.0922364,-52.6166878
REMANSO - BA,-9.6179416,-42.0830557
SAO CRISTOVAO - SE,-11.0136465,-37.2071134
VAZANTE - MG,-17.9896107,-46.9003899
PARANAVAI - PR,-23.08165,-52.461724
SERRA NEGRA - SP,-22.6126459,-46.699986
VALPARAISO DE GOIAS - GO,-16.0929051,-47.9959572
ARRAIAL DO CABO - RJ,-22.9662839,-42.024427
LUIS ANTONIO - SP,-21.5456242,-47.7813726
PINDOBACU - BA,-10.7439121,-40.3619457
OSORIO - RS,-29.8890733,-50.2740498
IBIRITE - MG,-20.0214251,-44.0621506
CARIACICA - ES,-20.263202,-40.416549
SAO MATEUS - ES,-18.7146049,-39.8539499
JABOATAO DOS GUARARAPES - PE,-8.1752476,-34.9468716
REDENCAO - PA,-8.0299327,-50.0309543
RIO GRANDE DA SERRA - SP,-23.7441905,-46.3924746
NOSSA SENHORA DO SOCORRO - SE,-10.8553115,-37.1264863
SAO JOSE DO RIO PRETO - SP,-20.8125851,-49.3804212
TEFE - AM,-3.3485276,-64.7102278
ARARAQUARA - SP,-21.7886713,-48.1773096
NAVEGANTES - SC,-26.8898813,-48.6495828
ANGRA DOS REIS - RJ,-23.1555405,-44.2344809
URU - SP,-21.7846064,-49.2819702
CRUZEIRO DO SUL - AC,-7.6362478,-72.6691649
